##OTU ID	11509	208MM	04409	06409	171MM	01112	02507	183MM	08209	227MM	02901	04303	200MM	08601	01207	10712	191MM	220MM	04603	197MM	10524	02701	04305	02912	204MM	01101	181MM	179MM	01601	07505	07507	10205	201MM	01212	11401	06324	219MM	193MM	10509	07501	08609	228MM	07603	02301	04307	04609	04407	177MM	06401	10603	07107	232MM	211MM	02705	10724	08605	02703	03112	10624	173MM	03124	01124	01603	223MM	03412	10503	01107	03407	210MM	02707	172MM	02312	10612	10201	186MM	11407	03101	174MM	213MM	01605	182MM	03103	03401	02907	212MM	04503	03601	205MM	06412	02303	11524	10703	07109	04312	02524	10609	02503	10224	187MM	10207	06407	03405	08207	03624	10601	10701	06403	10707	02909	07524	01109	178MM	01203	196MM	01607	03612	11503	03424	11505	04401	02309	11409	184MM	01224	218MM	03105	08203	02512	194MM	03605	03609	202MM	207MM	06312	04524	185MM	07105	04512	10607	03403	06307	02905	07112	02305	07103	04505	02505	188MM	03603	06303	203MM	02924	04624	08224	02709	02724	10709	04324	08603	175MM	190MM	10212	216MM	06424	03409	04412	06301	226MM	11405	10605	02903	11501	10507	10705	10203	199MM	04424	08624	02712	10209	07509	04507	01624	206MM	11424	04501	08612	04612	04403	195MM	02324	176MM	04607	10501	209MM	01609	02307	04405	08607	01103	03607	07601	229MM	04601	07512	10512	217MM	07101	03107	02501	11403	01105	11507	192MM	08205	10505	07607	07503	07605	221MM	04301	01205	07624	07609	224MM	222MM	04605	214MM	01201	11412	01209	04309	06305	02509	03109	08201	06405	07124	taxonomy
OTU_17	194	8	990	9	7	117	403	19	69	5	152	105	18	70	286	75	1	17	1051	19	6	2700	29	13	1	23	0	4	136	146	3	815	1	574	29	2	1	0	2	31	1083	3	76	761	464	7	809	8	1747	455	125	2	6	607	3	534	141	101	1	7	0	4	41	10	54	1460	507	1172	7	229	3	44	2	541	3	728	2	9	73	12	10	32	1	1642	0	1	525	68	6	14	11	73	38	43	10	10	232	45	0	666	100	147	148	12	954	416	183	195	818	4	93	0	3938	5	167	26	118	2	29	2276	67	570	4	2	4	401	4	51	8	59	1349	0	159	275	15	51	51	0	1170	6	40	133	570	924	2	0	454	9	686	0	33	1	2	0	36	3	746	0	367	0	4	9	9	0	714	75	1	65	668	1478	890	0	197	1	3032	68	9	61	161	1003	444	8	3	12	0	0	13	28	479	4	8	3	46	1387	27	386	254	710	340	4	157	338	2	256	23	23	13	159	229	863	120	118	2203	39	4	30	249	39	299	2	292	180	1	71	2	2	618	2	4	15	95	471	8	861	794	1	125	1	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Veillonella;
OTU_36	174	76	2	163	21	86	188	65	1	107	0	164	182	0	0	113	143	138	162	20	45	0	340	498	6	0	0	96	0	218	340	0	13	6	238	28	35	0	193	1	125	6	105	0	374	57	34	0	0	128	325	21	60	1471	64	178	1223	30	20	11	21	66	0	92	0	0	65	1	51	215	44	501	162	1	26	213	1	14	27	0	10	0	0	1	41	3	0	1	156	660	147	0	139	221	50	115	0	48	15	91	82	0	0	76	0	1	581	0	420	17	0	21	0	67	0	303	0	44	0	0	28	136	78	36	14	0	0	229	2	43	169	45	174	88	48	56	429	534	17	0	0	44	89	0	0	0	523	9	0	0	18	9	39	61	202	0	64	13	61	62	13	88	2	78	0	80	0	28	1	2	0	0	340	46	0	58	23	60	475	74	332	0	13	13	121	0	39	119	0	2	179	14	148	0	107	0	109	63	123	0	126	0	112	58	47	572	3	1	0	0	459	0	0	15	0	0	274	1	36	4	0	0	18	89	852	36	536	22	0	230	67	465	0	111	0	0	506	40	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Flavonifractor;
OTU_27	39	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	631	0	5	0	8	0	7	0	0	0	0	4	0	0	1	97	35	76	0	0	0	3	0	0	196	0	63	45	0	0	0	0	0	0	0	150	352	0	3	0	20	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	522	18	0	0	0	0	0	47	0	254	0	0	0	0	0	65	11	0	0	1	95	1	0	0	0	0	0	0	0	0	9	2	0	0	14	0	0	146	0	0	0	0	454	50	35	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	47	0	0	42	21	0	0	15	0	66	0	457	0	0	0	0	0	0	325	154	0	0	0	0	0	0	0	3	0	0	0	0	0	0	31	9	0	8	0	60	0	0	1	0	0	2	0	0	2	0	0	9742	0	0	1	35	0	4	0	0	0	0	0	0	0	74	0	1	0	0	3	0	1	0	0	67	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;
OTU_52	144	1023	0	0	1	0	0	834	0	0	1	0	327	0	0	0	463	0	101	560	18	0	4	1	318	0	180	0	0	0	19	0	98	0	0	0	0	35	0	45	0	117	0	0	0	272	0	0	0	0	25	312	868	0	79	0	0	0	0	0	0	0	0	965	1	0	0	0	0	0	265	11	0	0	1	0	0	0	536	0	0	0	0	0	67	0	0	1	0	0	52	0	22	143	0	0	0	0	1	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	256	0	97	0	0	0	0	681	0	0	0	0	0	323	2	19	3	714	0	14	0	189	144	0	0	0	0	31	0	0	0	0	0	0	0	2	0	49	1	0	38	0	14	0	732	594	0	951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	26	0	0	45	0	297	3	1	32	0	8	0	0	0	0	0	244	0	0	116	0	0	0	0	2	0	0	0	0	397	0	0	0	100	101	173	0	0	0	0	0	223	0	0	0	0	2	31	0	0	0	0	0	31	Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;
OTU_605	52	4	17	344	2	3	0	3	0	0	1218	1	3	1608	2	1	0	4	88	1	1	2	0	0	0	78	0	0	32	1	0	98	0	93	2	1	2	0	1	411	26	0	4	0	0	3	196	5	0	5	0	0	1	39	0	324	12	1	3	0	0	0	4	1	3	204	0	0	0	72	0	0	1	1089	0	0	3	0	0	162	0	0	0	31	0	1	238	37	0	0	0	2	0	1	4	1	17	2	0	4	264	1	1	0	1	2	0	6	15	0	51	1	15	1	0	1	0	0	1	0	3	20	2	2	4	0	0	1	0	8	14	0	24	0	2	2	6	0	81	0	0	39	1	8	0	0	17	8	105	0	2	0	0	3	17	1	8	0	23	0	0	2	2	0	376	0	0	8	23	0	162	0	179	1	254	1	6	0	31	129	26	29	1	9	1	4	17	4	8	0	6	2	13	4	289	9	15	3	37	0	30	962	0	822	0	105	5	82	1	609	18	2	125	4	1	1	1	44	7	0	24	0	0	0	0	1	2	2	3	0	32	0	1	0	1	0	26	0	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Veillonella;
OTU_51	33	2	65	121	0	54	257	4	1	1	0	0	0	0	1	71	1	3	21	1	4	41	47	11	1	0	0	0	0	97	69	0	1	157	9	2	0	0	55	0	0	0	0	0	176	0	0	0	0	136	0	0	0	622	0	1	439	36	0	0	0	2	0	9	0	0	0	0	0	95	0	12	14	0	0	19	0	0	6	1	1	0	0	393	1	2	0	0	23	72	1	0	181	25	0	22	0	0	0	0	135	0	0	0	0	0	0	0	310	2	0	0	0	4	0	30	0	0	0	0	9	78	1	3	0	1	0	166	1	0	71	8	3	37	1	4	0	68	7	0	0	43	122	649	0	0	34	0	0	0	0	0	1	3	109	0	42	4	0	1	0	17	0	1	0	37	0	5	0	2	298	0	17	1	1	1	0	1	23	0	179	0	0	1	2	0	20	12	0	0	0	0	17	0	4	0	22	428	0	0	18	0	2	4	45	117	0	0	0	0	26	2	0	0	0	0	93	63	380	1	0	0	1	1	15	0	198	0	0	36	6	205	0	559	0	0	0	1	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Clostridium innocuum group;
OTU_57	35	17	129	90	0	43	49	0	0	8	0	0	0	0	0	73	1	0	59	0	2	0	13	11	1	0	0	1	41	394	113	52	0	301	0	1	0	0	61	26	128	0	332	0	38	41	80	0	1	42	2	0	0	0	8	0	0	6	0	0	1	3	293	1	0	0	0	0	0	0	0	44	2	0	0	19	0	0	0	31	0	0	0	14	0	0	0	0	8	31	2	0	40	21	1	11	14	0	5	0	0	0	0	16	0	0	0	1	216	0	0	0	0	0	0	21	0	1	0	0	10	17	0	2	0	0	0	18	0	2	36	0	0	8	3	0	0	41	3	0	0	0	88	162	1	0	37	0	0	0	0	0	1	3	52	0	0	10	113	1	0	35	3	1	0	17	0	10	0	73	0	0	22	0	269	0	1	3	16	10	475	0	0	0	4	0	30	28	0	0	4	0	88	0	4	1	18	76	89	0	14	0	0	42	161	145	0	0	0	0	110	0	340	0	0	0	62	79	12	0	0	0	0	7	0	0	148	0	0	36	4	165	0	159	16	0	80	0	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Erysipelatoclostridium;
OTU_5	154	22	380	33	19	215	2101	29	230	0	1023	4	34	1	1222	140	9	24	94	0	22	717	532	135	90	3950	2	88	251	2103	205	870	18	80	3355	14	1	0	309	252	49	481	3267	788	314	137	307	0	0	178	107	224	0	143	308	4	2016	141	65	0	2	4	371	334	474	678	531	365	376	32	47	31	30	1746	4	1039	38	35	0	882	4	0	133	54	0	512	11	1	38	273	7	1334	102	198	5	86	1336	564	167	307	342	388	3313	0	775	8695	32	177	85	3	5691	0	2444	70	424	3	1137	0	773	531	138	1075	99	0	5	487	1	354	2	13	4	0	0	125	0	305	789	58	818	283	2	115	38	270	824	49	2079	0	2	1	2	2	105	36	1000	0	1707	1	2	342	0	972	0	3	413	4748	1	13	1110	1710	312	1083	1193	732	1394	159	155	1	28	576	353	851	0	48	5	484	80	9	139	3	1	2	17	250	44	277	143	438	3	319	115	1500	220	103	5	263	8	565	1009	1402	2032	430	5259	87	212	1154	644	113	1917	16	4	522	3	148	0	15	2	0	5	153	92	83	1	522	1734	0	1526	6	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;
OTU_1157	19	0	0	1	2	10	6	0	0	1	0	0	5	4	0	7	0	1	0	3	6	0	0	0	0	37	0	0	0	80	2	0	0	1	0	4	0	1	0	0	0	3	8	0	11	0	31	0	0	0	0	1	1	0	0	0	0	23	0	2	2	0	0	2	0	0	0	0	0	0	0	58	5	0	0	0	0	0	34	0	0	0	0	6	0	0	0	10	2	0	1	0	0	14	0	35	0	0	0	0	8	0	0	0	0	0	0	0	5	0	0	1	0	0	0	2	0	1	0	1	9	7	0	0	1	0	0	51	4	0	109	0	0	1	0	7	0	0	0	0	4	3	1	0	0	0	0	9	0	0	5	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	2	13	0	0	0	0	9	12	0	0	0	4	63	0	0	22	0	0	0	0	0	4	0	0	0	0	4	0	21	0	0	0	39	0	0	0	2	0	21	0	0	0	0	0	13	1	0	0	3	42	11	0	0	0	0	0	0	0	12	0	0	1	0	3	0	8	11	0	0	0	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Veillonella;
OTU_30	22	0	0	0	0	84	1266	0	0	0	0	0	3	0	1	161	1	0	0	1	2	0	0	4	1	0	0	0	1	0	0	0	0	77	0	1	0	0	35	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	24	2	1	0	0	2	114	62	0	2	2	0	0	0	0	0	0	2	5	0	0	0	0	0	0	1	1	1	0	749	0	12	0	0	108	2661	12	0	2	461	3	13	0	0	0	0	1	0	0	157	0	0	1	0	1	0	2	1	0	0	0	328	0	1	0	0	237	0	0	3	0	0	0	368	0	0	928	0	1	5	0	0	11	510	0	0	0	296	65	1708	0	0	0	0	0	0	1	0	0	0	479	0	2	0	0	0	0	24	0	18	0	49	0	0	0	0	0	0	1	2	0	0	1	35	212	2	0	0	0	0	94	0	30	6	0	1	0	0	1	0	1	153	299	0	0	0	89	0	0	0	23	1224	0	0	0	0	1	2	0	0	0	0	2	1	226	0	1	1	0	17	2	0	1	0	0	36	10	1	0	265	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Tyzzerella;
